BCB/335,"Financial investment fund, FIF 60, Investments in Central Bank securities"
BCB/336,"Financial investment fund, FIF 60, Investments state securities"
BCB/337,"Financial investment fund, FIF 60, Investments in municipal securities"
BCB/338,"Financial investment fund, FIF 60, Investments in time deposits (CDB/RDB)"
BCB/339,"Financial investment fund, FIF 60, Investments in debentures"
BCB/340,"Financial investment fund, FIF 60, Investments in bill of mortgage"
BCB/342,"Financial investment fund, FIF 60, Investments in gold"
BCB/343,"Financial investment fund, FIF 60, Investments in warrants"
BCB/345,"Financial investment fund, FIF 60, Investments in stocks for debentures conversion"
BCB/346,"Financial investment fund, FIF 60, Investments in open Companies stocks"
BCB/347,"Financial investment fund, FIF 60, Other investments"
BCB/350,"Financial investment fund, FIF 90, Investments in Central Bank securities"
BCB/351,"Financial investment fund, FIF 90, Investments state securities"
BCB/352,"Financial investment fund, FIF 90, Investments in municipal securities"
BCB/353,"Financial investment fund, FIF 90, Investments in time deposits (CDB/RDB)"
BCB/354,"Financial investment fund, FIF 90, Investments in debentures"
BCB/356,"Financial investment fund, FIF 90, Investments in bill of exchange"
BCB/358,"Financial investment fund, FIF 90, Investments in warrants"
BCB/359,"Financial investment fund, FIF 90, Investments in export notes"
BCB/360,"Financial investment fund, FIF 90, Investments in stocks for debentures conversion"
BCB/361,"Financial investment fund, FIF 90, Investments in open Companies stocks"
BCB/362,"Financial investment fund, FIF 90, Other investments"
BCB/363,"Financial investment fund, FIF 90, Investments in repurchase agreements"
BCB/368,"Financial investment fund (FIF), Investments in time deposits (CDB/RDB)"
BCB/372,"Financial investment fund (FIF), Investments in gold"
BCB/373,"Financial investment fund (FIF), Investments in warrants"
BCB/374,"Financial investment fund (FIF), Investments in export notes"
BCB/375,"Financial Investment Fund (FIF), Investments in stocks for debentures conversion"
BCB/377,"Financial investment fund (FIF), Other investments"
BCB/379,"BB extramarket funds, Net worth, 379"
BCB/380,"BB extramarket funds, Inflow"
BCB/381,"BB extramarket funds, Redemption"
BCB/382,"BB extramarket funds, Daily return (%)"
BCB/383,"BB extramarket funds, Investments in Treasury securities"
BCB/384,"BB extramarket funds, Investments in time deposits (CDB)"
BCB/385,"BB extramarket funds, Investments in repurchase agreements"
BCB/386,"FAQFIF, short term, Net worth"
BCB/387,"FAQFIF, short term, Inflow"
BCB/388,"FAQFIF, short term, Redemption"
BCB/389,"FAQFIF, short term, Monthly income (%)"
BCB/390,"FAQFIF 30, Net worth"
BCB/391,"FAQFIF 30, Inflow"
BCB/392,"FAQFIF 30, Redemption"
BCB/393,"FAQFIF 30, Monthly income (%)"
BCB/394,"FAQFIF 60, Net worth"
BCB/395,"FAQFIF 60, Inflow"
BCB/396,"FAQFIF 60, Redemption"
BCB/397,"FAQFIF 60, Monthly income (%)"
BCB/398,"FAQFIF 90, Net worth"
BCB/399,"FAQFIF 90, Inflow"
BCB/400,"FAQFIF 90, Redemption"
BCB/401,"FAQFIF 90, Monthly income (%)"
BCB/403,"FAQFIF, Inflow"
BCB/404,"FAQFIF, Redemption"
BCB/405,"Time deposits, Automatic reInflow, Balance"
BCB/407,"Time deposits, Automatic reInflow, Paid income"
BCB/409,"Time deposits (CDB/RDB-postset TBF), Net inflow"
BCB/410,"Credit operations with nonearmarked funds (preset rate), Others operations-legal entities, Total rate"
BCB/411,"Credit operations with nonearmarked funds (preset rate), Balances, Others operations-legal entities"
BCB/412,"Credit operations with nonearmarked funds (preset rate), Others operations-individuals Total rate"
BCB/413,"Credit operations with nonearmarked funds (preset rate), Balances, Others operations-individuals"
BCB/414,"Credit operations with nonearmarked funds (postset rate), Importation financing and other, Total rate"
BCB/415,"Credit operations with nonearmarked funds (postset rate), Balances, Importation financing and other"
BCB/416,"Credit operations with nonearmarked funds (postset rate), Others operations-individuals Total rate"
BCB/417,"Credit operations with nonearmarked funds (postset rate), Balances, Others operations-individuals"
BCB/420,"BB extramarket funds, Net inflow"
BCB/422,"Interest rate, Central Bank base rate (TBC) in annual terms"
BCB/423,"Interest rate, Central Bank assistance rate (TBAN) in annual terms"
BCB/424,"BB extramarket funds, FAT, FNDE, FUNCAFE, Net worth"
BCB/425,"BB extramarket funds, FAT, FNDE, FUNCAFE, Inflow"
BCB/426,"BB extramarket funds, FAT, FNDE, FUNCAFE, Redemption"
BCB/427,"BB extramarket funds, FAT, FNDE, FUNCAFE, Daily return (%)"
BCB/428,"BB extramarket funds, FAT, FNDE, FUNCAFE, Investments in federal securities"
BCB/429,"BB extramarket funds, FAT, FNDE, FUNCAFE, Investments in private securities"
BCB/430,"BB extramarket funds, FAT, FNDE, FUNCAFE, Investments in repurchase agreements"
BCB/431,"BB extramarket funds, FAT, FNDE, FUNCAFE, Net inflow"
BCB/432,"Interest rate, Selic target"
BCB/433,Broad National Consumer Price Index (IPCA)
BCB/466,"Credit operations with nonearmarked funds (preset rate), Grantings, Hot money"
BCB/467,"Credit operations with nonearmarked funds (preset rate), Hot money, Balance normally performing"
BCB/468,"Credit operations with nonearmarked funds (preset rate), Hot money, Balance in arrears from 15 to 30 days"
BCB/469,"Credit operations with nonearmarked funds (preset rate), Hot money, Balance in arrears from 31 to 90 days"
BCB/470,"Credit operations with nonearmarked funds (preset rate), Hot money, Balance in arrears of more than 90 days"
BCB/471,"Credit operations with nonearmarked funds (preset rate), Hot money, Interest rate"
BCB/472,"Credit operations with nonearmarked funds (preset rate), Hot money, Fiscal charge rate"
BCB/473,"Credit operations with nonearmarked funds (preset rate), Hot money, Operational charge rate"
BCB/474,"Credit operations with nonearmarked funds (preset rate), Hot money, Minumum contractual rate"
BCB/475,"Credit operations with nonearmarked funds (preset rate), Hot money, Maximum contractual rate"
BCB/476,"Credit operations with nonearmarked funds (preset rate), Average maturity, Hot money"
BCB/488,"Credit operations with nonearmarked funds (floating rate), Grantings, Hot money"
BCB/489,"Credit operations with nonearmarked funds (floating rate), Balances, Hot money"
BCB/490,"Credit operations with nonearmarked funds (floating rate), Hot money, Balance normally performing"
BCB/491,"Credit operations with nonearmarked funds (floating rate), Hot money, Balance in arrears from 15 to 30 days"
BCB/492,"Credit operations with nonearmarked funds (floating rate), Hot money, Balance in arrears from 31 to 90 days"
BCB/493,"Credit operations with nonearmarked funds (floating rate), Hot money, Balance in arrears of more than 90 days"
BCB/494,"Credit operations with nonearmarked funds (floating rate), Hot money, Interest rate"
BCB/495,"Credit operations with nonearmarked funds (floating rate), Hot money, Fiscal charge rate"
BCB/496,"Credit operations with nonearmarked funds (floating rate), Hot money, Operational charge rate"
BCB/497,"Credit operations with nonearmarked funds (floating rate), Hot money, Minumum contractual rate"
BCB/498,"Credit operations with nonearmarked funds (floating rate), Hot money, Maximum contractual rate"
BCB/499,"Credit operations with nonearmarked funds (floating rate), Average maturity Hot money"
BCB/500,"Credit operations with nonearmarked funds (floating rate), Hot money, Total rate"
BCB/501,"Credit operations with nonearmarked funds (preset rate), Grantings, Discouting of trade bills"
BCB/502,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Balance normally performing"
BCB/503,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Balance in arrears from 15 to 30 days"
BCB/504,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Balance in arrears from 31 to 90 days"
BCB/505,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Balance in arrears of more than 90 days"
BCB/506,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Interest rate"
BCB/507,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Fiscal charge rate"
BCB/508,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Operational charge rate"
BCB/509,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Minumum contractual rate"
BCB/510,"Credit operations with nonearmarked funds (preset rate), Discouting of trade bills, Maximum contractual rate"
BCB/511,"Credit operations with nonearmarked funds (preset rate), Average maturity, Discouting of trade bills"
BCB/512,"Credit operations with nonearmarked funds (preset rate), Grantings, Discouting promissory notes"
BCB/513,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Balance normally performing"
BCB/514,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Balance in arrears from 15 to 30 days"
BCB/515,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Balance in arrears from 31 to 90 days"
BCB/516,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Balance in arrears of more than 90 days"
BCB/517,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Interest rate"
BCB/518,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Fiscal charge rate"
BCB/519,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Operational charge rate"
BCB/520,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Minumum contractual rate"
BCB/521,"Credit operations with nonearmarked funds (preset rate), Discouting promissory notes, Maximum contractual rate"
BCB/522,"Credit operations with nonearmarked funds (preset rate), Average maturity, Discouting promissory notes"
BCB/523,"Credit operations with nonearmarked funds (preset rate), Grantings, Working capital"
BCB/524,"Credit operations with nonearmarked funds (preset rate), Working capital, Balance normally performing"
BCB/525,"Credit operations with nonearmarked funds (preset rate), Working capital, Balance in arrears from 15 to 30 days"
BCB/526,"Credit operations with nonearmarked funds (preset rate), Working capital, Balance in arrears from 31 to 90 days"
BCB/528,"Credit operations with nonearmarked funds (preset rate), Working capital, Interest rate"
BCB/529,"Credit operations with nonearmarked funds (preset rate), Working capital, Fiscal charge rate"
BCB/530,"Credit operations with nonearmarked funds (preset rate), Working capital, Operational charge rate"
BCB/531,"Credit operations with nonearmarked funds (preset rate), Working capital, Minumum contractual rate"
BCB/532,"Credit operations with nonearmarked funds (preset rate), Working capital, Maximum contractual rate"
BCB/534,"Credit operations with nonearmarked funds (postset rate), Grantings, Working capital"
BCB/535,"Credit operations with nonearmarked funds (postset rate), Working capital, Balance normally performing"
BCB/536,"Credit operations with nonearmarked funds (postset rate), Working capital, Balance in arrears from 15 to 30 days"
BCB/537,"Credit operations with nonearmarked funds (postset rate), Working capital, Balance in arrears from 31 to 90 days"
